id,recipe_id,meal_time
3d81d7ef-4d65-4f0c-bf95-f03ec89c61ef,ad3de666-05e4-416c-a7d4-a5c5cf79d6f4,BREAKFAST
bf0b8e46-1f48-470f-bf35-4a850e67891c,ad3de666-05e4-416c-a7d4-a5c5cf79d6f4,LUNCH
d86640fc-bd64-4250-b511-a7ea76be4f02,ad3de666-05e4-416c-a7d4-a5c5cf79d6f4,DINNER
bfa4fd04-f9d7-43c1-a281-47b413f1ac99,6bad53cc-89fa-403b-844a-70926fa9b00f,BREAKFAST
f0f22629-3cd4-44f1-b984-8707a5ecf527,6bad53cc-89fa-403b-844a-70926fa9b00f,LUNCH
4b0f9179-f7c2-4226-83dd-72276fadfb18,6bad53cc-89fa-403b-844a-70926fa9b00f,DINNER
5a2862b7-14a3-4df9-a102-e759251815f5,3e511232-c761-4045-b7ef-2d739c065a33,BREAKFAST
2f02d52a-b93b-4af6-88ce-e8322ab98063,3e511232-c761-4045-b7ef-2d739c065a33,LUNCH
48b1d6c1-f8ff-41b7-8c85-67cd55ce4993,3e511232-c761-4045-b7ef-2d739c065a33,DINNER
db00efc2-0664-4eb2-9758-d32b1a28ac4c,9f575340-9fba-4e93-9427-ac0a91504417,BREAKFAST
a6e42c35-26f5-4126-ac9a-d5fd5d341f33,9f575340-9fba-4e93-9427-ac0a91504417,LUNCH
ff0f3794-c2a7-4d77-a16a-297728f33225,9f575340-9fba-4e93-9427-ac0a91504417,DINNER
dd5df5ae-cba1-4f27-bf22-59d71f1b16bf,15c8ac77-128e-4825-960e-eb5638376e00,BREAKFAST
10d9282e-5378-41b3-8927-6ff4c3f0a2ca,3f6cb45d-e813-4e67-be9c-9f78b597bdbc,BREAKFAST
4ed51385-bf22-4be2-87f4-74b3fe2841b2,9e329204-a9d3-445b-ad6d-5eeb6456af66,BREAKFAST
f511c7ff-4540-4098-b1e4-90d4a97ab583,3080a02c-d6a9-4634-8878-711920f11a66,LUNCH
f1b6afec-d6b5-4b50-9f12-1b9cd08ebf4f,89f0fc07-045e-425c-aeef-f092562fc8c9,LUNCH
0f029d80-b5df-4fc8-b1d4-b52f66b64cb8,99b9a31e-e1fc-4fd9-9897-854f90acf3bb,LUNCH
997695b5-5291-4af8-b2b7-f769fd840034,385079f9-d049-48e2-9093-5bdcf328282f,DINNER
0ef3bdad-b851-4055-b75b-29675c2613e6,59f4f0b4-2075-40a4-b95b-883433eed1a2,LUNCH
32c73311-f79c-4115-a7f0-f17638b06ec0,59f4f0b4-2075-40a4-b95b-883433eed1a2,DINNER
1ed6dbf5-d4ee-4a6e-af1a-31ee122fb0a8,0b9c16f1-d4c0-40c8-8b7a-3d4a50f653ad,DINNER
